frame,value
0,24.553038
1,24.430365
2,24.330603
3,23.968489
4,26.600750
5,26.281780
6,26.025904
7,25.537329
8,25.605722
9,25.664703
10,25.254866
11,25.358763
12,25.384502
13,25.792408
14,25.547560
15,25.505892
16,25.628714
17,25.604292
18,25.672140
19,25.872828
20,27.784163
21,28.514282
22,28.143995
23,27.617531
24,28.406563
25,27.606974
26,26.965796
27,26.491329
28,26.071360
29,25.785097
30,25.541855
31,25.069983
32,24.895885
33,24.350378
34,24.984877
35,24.442005
36,24.625128
37,24.423658
38,24.517365
39,25.873062
40,25.840118
41,26.373293
42,26.850979
43,26.964109
44,27.203188
45,26.755302
46,26.365145
47,25.569454
48,24.990377
49,24.822193
50,24.751507
51,24.406883
52,24.198231
53,24.109560
54,24.721119
55,24.538893
56,24.456429
57,24.528952
58,24.581717
59,24.543791
60,24.560087
61,24.518951
62,24.433868
63,24.449442
64,24.328388
65,24.622177
66,24.646503
67,24.468594
68,24.365509
69,24.150103
70,23.981951
71,23.655449
72,23.612236
73,23.829845
74,23.792267
75,23.708586
76,23.676420
77,23.521801
78,23.480602
79,23.233093
80,23.166368
81,23.154478
82,22.895344
83,23.108620
84,23.296413
85,23.359688
86,23.294689
87,22.784931
88,22.814304
89,22.900984
90,23.047876
91,23.263231
92,24.873051
93,24.902493
94,20.985783
95,20.841784
96,20.892630
97,20.966988
98,20.980576
99,21.045576
100,22.132093
101,22.297674
102,22.295683
103,22.278460
104,22.233307
105,22.229240
106,22.144388
107,22.094431
108,22.052963
109,22.127163
110,22.270550
111,22.389984
112,22.285704
113,22.192366
114,22.147398
115,22.186165
116,21.943850
117,22.277658
118,22.971771
119,23.939775
120,25.657827
121,28.344486
122,28.683907
123,28.669619
124,36.182209
125,35.450378
126,34.902821
127,34.322803
128,33.609360
129,33.219433
130,32.563862
131,32.336838
132,32.193161
133,31.964951
134,31.810705
135,31.550106
136,31.849955
137,32.191517
138,32.225822
139,30.705442
140,30.189274
141,30.032255
142,30.388704
143,30.765123
144,30.935036
145,30.902012
146,31.129219
147,31.028898
148,30.801214
149,30.612635
150,30.849781
151,30.945658
152,30.810846
153,30.768084
