frame,value
0,23.965170
1,24.298471
2,24.538233
3,23.605062
4,23.493502
5,23.460907
6,23.049183
7,23.119564
8,22.648199
9,22.890814
10,22.716267
11,22.662394
12,22.547644
13,22.878441
14,23.020996
15,23.080845
16,23.124649
17,23.047813
18,23.285517
19,23.191635
20,24.690748
21,25.124956
22,25.154936
23,25.235283
24,25.839926
25,25.274319
26,24.905500
27,24.988491
28,24.814667
29,24.497417
30,24.294428
31,24.526621
32,24.832296
33,24.208323
34,24.343201
35,23.838812
36,23.898691
37,23.496933
38,23.686317
39,25.027000
40,25.090046
41,25.388472
42,25.572781
43,24.471708
44,25.254925
45,25.104311
46,24.958727
47,24.351425
48,23.629261
49,23.447832
50,23.480328
51,23.117085
52,22.887409
53,22.601648
54,22.979963
55,22.750307
56,22.701378
57,22.776697
58,22.913639
59,22.905994
60,22.970167
61,22.955200
62,22.808077
63,22.788044
64,22.653706
65,23.004637
66,22.961782
67,22.766819
68,22.571598
69,22.511875
70,22.302919
71,21.982153
72,21.806021
73,22.100737
74,21.972368
75,21.955093
76,21.849869
77,21.848057
78,21.910059
79,21.728825
80,21.683214
81,21.610359
82,21.420256
83,21.636806
84,21.763031
85,22.099157
86,21.900555
87,21.463232
88,21.436514
89,21.445786
90,21.523972
91,21.591166
92,23.230400
93,23.326063
94,21.629753
95,21.384342
96,21.434294
97,21.453421
98,21.531721
99,21.913942
100,22.727865
101,22.721022
102,22.768463
103,22.585211
104,22.319550
105,22.366617
106,22.171951
107,22.114470
108,21.974226
109,22.004997
110,21.965456
111,21.945177
112,22.374657
113,22.584175
114,22.550383
115,22.554853
116,22.543104
117,22.577978
118,22.371885
119,22.080635
120,22.067551
121,22.182791
122,22.157190
123,22.216829
124,22.265656
125,22.227360
126,22.330048
127,22.370539
128,22.311049
129,22.395489
130,23.049080
131,23.346888
132,23.459726
133,23.469090
134,23.365009
135,23.166058
136,22.904085
137,22.721144
138,22.593182
139,22.482798
140,22.363836
141,22.340982
142,22.292747
143,22.027300
144,21.712635
145,21.512081
146,21.617741
147,21.704199
148,21.858170
149,21.858120
150,22.007402
151,22.042511
152,21.960423
153,21.750715
154,21.747501
155,21.683750
156,21.584669
157,21.428696
158,21.360573
159,21.497028
160,21.597141
161,21.948963
162,21.987103
163,22.425398
164,22.450014
165,22.245756
166,22.570812
167,22.694019
168,23.044613
169,23.664509
170,23.836569
171,24.051060
172,24.094032
173,24.093504
174,24.029070
175,23.950102
176,23.909454
177,23.902605
178,23.727175
179,23.969589
180,24.520866
181,25.172480
182,25.083445
183,24.966261
184,24.891598
185,24.781729
186,24.745304
187,24.685278
188,24.719603
189,24.723686
190,24.739676
191,24.715696
192,24.676090
193,24.361530
194,24.085552
195,24.020443
196,23.588360
197,23.067259
198,22.766178
199,22.748676
200,22.640150
201,22.654699
202,22.374065
203,22.170784
204,22.016327
205,21.847820
206,21.809132
207,21.760820
208,21.848251
209,21.910631
210,21.964516
211,21.952198
212,22.006302
213,22.006172
214,21.967859
215,21.961090
216,22.002230
217,21.957371
218,22.015192
219,22.112219
220,22.096865
221,22.914307
222,23.243258
223,23.307846
224,23.797651
225,24.739904
226,25.840803
227,26.166101
228,25.948187
229,25.251795
230,27.366066
231,29.325396
232,30.751930
233,30.848570
234,37.170879
235,39.262169
236,39.697708
237,40.081177
238,40.757607
239,41.021286
240,43.888573
241,44.085442
242,34.892590
243,34.627106
244,34.887402
245,35.408318
246,35.632912
247,35.896782
248,36.420853
249,37.117237
250,37.554474
251,38.323647
252,32.360424
253,32.506638
254,32.574856
255,31.846039
256,32.723900
257,32.602962
258,31.327112
259,32.008877
260,31.921774
261,31.232800
262,32.233509
263,31.895823
264,32.353100
265,32.521378
266,32.671902
267,33.480335
268,33.657406
269,34.210342
270,34.364361
271,36.090969
272,36.891541
273,38.505169
274,37.333569
275,37.438324
276,36.594383
