Time  Yaw  Pitch  Roll
0 0 0 0
0,02 0 0 0
0,04 168,9754 8,643133 4,173866
0,06 168,9754 8,643133 4,173866
0,08 168,9754 8,643133 4,173866
0,09999999 168,9754 8,643133 4,173866
0,12 168,9754 8,643133 4,173866
0,14 168,6462 8,205931 4,175256
0,16 168,0729 7,035222 3,948686
0,18 168,001 6,82799 3,831852
0,2 168,0865 6,737734 3,901149
0,22 168,0596 6,690949 3,921211
0,24 168,1579 6,854122 3,965319
0,26 168,2361 6,721385 3,960525
0,28 168,4069 6,208938 3,993302
0,3 168,5929 5,690394 3,88793
0,32 168,7226 5,332659 3,925448
0,34 168,8902 5,051472 3,824198
0,36 168,9313 5,266978 3,783399
0,38 168,8647 5,574358 3,789091
0,4 168,8863 5,672731 3,760197
0,42 168,9657 5,671407 3,746422
0,44 168,9029 5,623508 3,702836
0,46 168,6648 5,470922 3,924164
0,48 168,662 5,349097 3,977195
0,5 168,5449 5,171557 3,969577
0,52 168,544 5,218022 4,00501
0,54 168,4673 5,238856 4,111136
0,56 168,484 5,338407 4,26253
0,58 168,5596 5,620311 4,75928
0,6 168,6023 5,808909 5,051869
0,62 168,6186 6,250041 5,7365
0,64 168,5422 6,792989 6,521398
0,66 168,3823 7,285474 7,128499
0,68 168,129 7,605475 7,461084
0,7 167,9599 7,557061 7,598226
0,72 167,6918 7,391301 7,706043
0,74 167,1261 7,155971 7,833956
0,76 166,6722 6,812424 7,894774
0,78 166,4224 6,685462 7,884445
0,8 166,1962 6,327401 8,162171
0,82 166,1289 6,812993 8,236833
0,84 165,7062 6,519083 8,437257
0,86 165,5171 6,467031 8,576077
0,88 165,5143 6,558055 8,667832
0,9 165,4579 6,837154 8,929834
0,92 165,3963 6,951627 8,940183
0,94 165,3285 7,258384 8,798642
0,96 165,2746 7,220737 8,753942
0,98 165,1395 7,045637 8,761555
1 165,1964 6,99863 8,754865
1,02 165,2112 6,961119 8,978959
1,04 165,267 7,182501 9,300348
1,06 165,3206 7,602228 9,860952
1,08 165,3179 7,816787 10,09204
1,1 165,3995 8,33126 10,53898
1,12 165,4399 8,627418 10,82252
1,14 165,4813 8,932775 10,92735
1,16 165,5914 9,043574 10,81825
1,18 165,809 9,249183 10,56563
1,2 166,2221 9,153383 10,60022
1,22 166,5101 8,73727 10,77891
1,24 166,6946 8,195171 11,03448
1,26 166,7025 7,977702 11,46831
1,28 166,702 8,032178 11,64466
1,3 166,6379 8,289381 12,10722
1,32 166,2893 8,619525 12,48357
1,34 165,9442 8,788601 12,41025
1,36 165,9234 8,662011 12,06101
1,38 166,0403 8,534541 11,91546
1,4 166,1935 8,161779 12,14525
1,42 166,1177 7,855134 12,62088
1,44 165,9595 7,443369 12,90783
1,46 165,6098 7,106911 13,09446
1,48 165,3338 6,898147 12,9076
1,5 165,046 6,800215 12,75969
1,52 164,931 6,533866 12,60919
1,54 164,9098 6,061186 12,56539
1,56 164,9761 5,525233 12,76401
1,58 165,0147 5,32864 12,90141
1,6 165,1856 4,90373 13,24939
1,62 165,3122 4,62265 13,10099
1,64 165,2068 4,563217 12,70891
1,66 164,7701 5,102945 12,63345
1,68 164,3914 5,639157 12,49352
1,7 164,0311 6,182621 12,18187
1,72 163,5308 5,974289 11,56787
1,74 163,5345 5,117692 10,51207
1,76 163,9667 4,105019 9,731446
1,78 163,4895 4,076331 10,41948
1,8 163,1896 3,423358 9,661226
1,82 163,0455 3,00188 9,388634
1,84 162,8936 2,572514 8,961021
1,86 162,8127 1,956247 8,478265
1,88 162,8206 1,62041 8,250578
1,9 163,0625 1,081906 7,740378
1,92 163,6084 0,5390077 7,287217
1,94 164,2369 0,06225399 7,239672
1,96 164,8807 359,7823 7,188469
1,98 165,2788 359,733 7,15446
2 165,9068 359,7719 7,131608
2,02 166,2358 0,2950948 7,379562
2,04 166,4915 0,7799917 7,288077
2,06 166,6141 1,465145 7,213744
2,08 166,6965 1,802984 7,194957
2,1 166,9754 2,113866 7,050949
2,12 167,207 2,105699 6,887779
