frame,value
0,22.268635
1,22.290953
2,22.322496
3,22.375216
4,22.438208
5,22.480703
6,22.531361
7,22.639278
8,22.686775
9,22.777056
10,22.901701
11,22.947559
12,23.016083
13,23.050182
14,23.092926
15,23.161524
16,23.281981
17,23.413393
18,23.580223
19,24.000772
20,24.356169
21,24.620369
22,25.003288
23,25.162815
24,25.266521
25,25.336369
26,25.322348
27,25.318779
28,25.242929
29,25.163956
30,25.083981
31,24.973688
32,24.773399
33,24.765297
34,24.735935
35,24.699909
36,24.712528
37,24.679991
38,24.608599
39,24.587606
40,24.508085
41,24.393019
42,24.383074
43,24.286556
44,24.254961
45,24.264044
46,24.200235
47,24.105110
48,24.076784
49,24.059757
50,24.012621
51,23.984945
52,23.891998
53,23.825630
54,23.852417
55,23.862865
56,23.851852
57,23.859112
58,23.814386
59,23.795561
60,23.826462
61,23.813030
62,23.771421
63,23.764601
64,23.728470
65,31.358080
66,31.362345
67,31.233555
68,31.202108
69,31.179806
70,31.198088
71,31.227518
72,31.253700
73,31.184864
74,31.035395
75,30.912035
76,30.716961
77,30.453827
78,30.295502
79,30.088638
80,29.916065
81,29.996283
82,30.104546
83,29.976171
84,29.916565
85,28.536016
86,27.232971
87,26.690596
88,25.825867
89,25.227568
90,24.959286
91,24.223961
92,23.832388
93,23.710438
94,23.533028
95,23.390644
96,23.305172
97,23.209362
98,23.175272
99,23.137772
100,23.133131
101,23.128675
102,23.133516
103,23.157970
104,23.236721
105,23.442738
106,24.312601
107,24.667841
108,24.994345
109,25.599955
110,26.127190
111,26.458931
112,27.287865
113,27.776463
114,27.984524
115,28.537355
116,28.773315
117,28.724655
118,28.476862
119,28.264553
120,28.316025
121,28.585863
122,28.683361
123,28.859272
124,29.659487
125,19.031166
126,19.063351
127,19.087364
128,19.110943
129,19.112360
130,19.100378
131,19.082739
132,19.055382
133,18.997353
134,18.966009
135,18.954283
136,18.918425
137,18.891315
138,18.843628
139,18.794920
140,18.751259
141,18.732248
142,18.688370
143,18.682049
144,18.651958
145,18.614700
146,18.588003
147,18.569237
148,18.532942
149,18.517981
150,18.449717
151,18.436020
152,18.412148
153,18.409540
154,18.395493
155,30.096298
156,30.076342
157,30.014915
158,29.941872
159,29.881605
160,29.783922
161,29.562189
162,29.188993
163,27.892342
164,26.873896
165,26.180859
166,24.822691
167,23.983868
168,23.450205
169,22.622215
170,22.142727
171,21.787107
172,21.338303
173,21.103098
174,20.963736
175,20.724346
176,20.540457
177,20.451042
178,20.347216
179,20.226629
180,20.095497
181,20.023678
182,19.990555
183,19.984365
184,19.954254
185,19.930588
186,19.910786
187,19.892363
188,19.855143
189,19.848402
190,19.791939
191,19.737503
192,19.625916
193,19.537777
194,19.465149
195,19.405659
196,19.311327
197,19.240835
198,19.195641
199,19.153111
200,19.134348
201,19.118372
202,19.155838
203,19.218025
204,19.249088
205,19.274981
206,19.295385
207,19.311213
208,19.302231
209,19.293131
210,19.258135
211,19.223068
212,19.211498
213,19.219645
214,19.243280
215,19.116711
216,19.129543
217,19.131901
218,19.130917
219,19.123116
220,19.113186
221,19.129192
222,19.138445
223,19.107868
224,19.099991
225,19.155609
226,19.209219
227,19.264563
228,19.294336
229,19.323637
230,19.348005
231,19.342701
232,19.410942
233,19.543940
234,19.699265
235,19.839045
236,19.943830
237,20.057009
238,20.290300
239,20.512106
240,20.653322
241,20.872896
242,21.147184
243,21.282963
244,21.357536
245,21.417883
246,21.367556
247,21.361063
248,21.265253
249,21.231882
250,21.324862
251,21.688707
252,22.045115
253,22.530224
254,22.798395
255,22.973736
256,23.128643
257,23.223557
258,23.281630
259,23.448620
260,23.582624
261,23.700562
262,23.984686
263,24.206036
264,24.338902
265,24.548342
266,24.597694
267,24.616798
268,24.584925
269,24.588293
270,24.564802
271,24.639297
272,24.649441
273,24.631037
274,24.678577
275,24.803476
276,24.870356
277,24.916874
278,24.962090
279,24.959805
280,24.975935
281,24.980888
282,24.972498
283,24.992432
284,24.999846
285,24.965328
286,24.960812
287,24.958897
288,24.948959
289,24.899660
290,24.849092
291,24.830475
292,24.759890
293,24.683002
294,24.650787
295,24.608374
296,24.584719
297,24.612123
298,24.643736
299,24.652868
300,24.649220
301,24.715994
302,24.799267
303,25.094654
304,26.472511
305,25.884148
306,26.162861
307,25.309841
308,23.286137
309,22.302877
310,21.301474
311,20.789906
312,20.798849
313,20.788286
314,21.001541
315,21.326527
316,21.086792
317,20.865030
318,20.821466
319,21.340292
320,22.004101
321,22.263588
322,22.428936
323,22.680037
324,22.959862
325,23.425510
326,23.903214
327,24.132088
328,24.483603
329,24.660786
330,24.957148
331,25.129124
332,25.512175
333,25.831442
334,26.389137
335,27.506418
336,27.882504
337,28.588318
338,29.067148
339,29.408152
340,29.887268
341,30.417379
342,30.845924
343,31.057699
344,31.301105
345,31.426786
346,31.700857
347,31.822083
348,31.794125
349,32.325615
350,32.770920
351,33.055485
352,34.384079
353,35.902195
354,36.492249
355,35.638481
356,35.787708
357,35.727032
358,35.292549
359,35.072174
360,34.739525
361,35.174927
362,35.337334
363,35.011456
364,35.351555
365,34.412178
366,34.062710
367,34.020721
368,33.873734
369,33.702858
370,33.432594
371,33.244362
372,32.951836
373,32.846146
374,32.906948
375,33.105667
376,33.260006
377,33.770111
378,34.532967
379,34.607609
380,35.332542
381,35.911938
382,37.492687
383,37.775997
384,37.971462
385,37.665371
386,38.060482
387,37.175171
388,37.607403
389,38.460930
390,37.815319
391,38.527817
392,37.819172
393,37.802910
394,37.910553
395,19.709057
396,19.458715
397,19.464300
398,19.587418
399,19.630835
400,19.887123
401,19.949057
402,19.947527
403,19.980806
404,20.030783
405,20.125782
406,20.102316
407,20.155260
408,19.980196
409,20.015238
410,20.022051
411,20.032099
412,20.048668
413,20.228912
414,20.373329
415,20.518930
416,20.586035
417,20.628809
418,20.787882
419,20.954281
420,21.057226
421,21.203793
422,21.313652
423,21.379282
424,21.532904
425,21.623701
426,21.650366
427,21.750750
428,21.766275
429,21.880028
430,22.383572
431,23.075209
432,23.661915
433,25.025179
434,25.833300
435,26.144571
436,27.095919
437,28.377708
438,29.490639
439,30.343090
440,29.045090
441,27.902092
442,26.590847
443,25.961321
444,25.542751
445,25.043488
446,24.610960
447,24.301136
448,23.921587
449,23.619831
450,23.419943
451,23.212473
452,23.072994
453,23.091686
454,23.014578
455,18.586966
456,18.541929
457,18.481337
458,18.432945
459,18.357141
460,18.314877
461,18.297018
462,18.301342
463,18.327858
464,18.322878
465,18.310242
466,18.335697
467,18.342165
468,18.406967
469,18.457989
470,18.511480
471,18.550547
472,18.625381
473,18.702864
474,18.760647
475,18.789854
476,18.804653
477,18.821442
478,18.836428
479,18.835709
480,18.808968
481,18.762024
482,18.707813
483,18.673893
484,18.612087
485,18.591829
486,18.581953
487,18.547846
488,18.525414
489,18.500467
490,18.473032
491,18.443022
492,18.424255
493,18.420727
494,18.421505
495,18.416019
496,18.466270
497,18.507627
498,18.532553
499,18.497297
500,18.451000
501,18.473455
502,18.564190
503,18.637024
504,18.700075
505,18.745176
506,18.758474
507,18.771873
508,18.811232
509,18.798874
510,18.725935
511,18.709455
512,18.630537
513,18.660408
514,18.733685
515,16.369183
516,16.340147
517,16.327282
518,16.340147
519,16.354843
520,16.356232
521,16.361128
522,16.373831
523,16.383820
524,16.393373
525,16.392937
526,16.395540
527,16.379910
528,16.361155
529,16.362789
530,16.361712
531,16.364281
532,16.360048
533,16.340559
534,16.331606
535,16.332865
536,16.315840
537,16.305496
538,16.291105
539,16.264477
540,16.204826
541,16.185869
542,16.176670
543,16.173496
544,16.151976
545,34.094070
546,34.249664
547,34.845333
548,34.872635
549,34.835152
550,35.041779
551,34.767365
552,34.683937
553,34.861057
554,34.643173
555,34.564323
556,34.391949
557,34.252972
558,34.088894
559,34.130730
560,34.070126
561,34.043606
562,33.954483
563,34.053864
564,34.066643
565,33.965881
566,33.888554
567,33.972206
568,34.089016
569,34.034756
570,33.963818
571,34.081017
572,33.947319
573,33.829319
574,33.892006
575,37.588531
576,37.567608
577,37.591007
578,37.451069
579,37.435017
580,37.184021
581,37.132320
582,37.124973
583,37.167206
584,37.008781
585,37.034187
586,36.972507
587,35.354240
588,35.192810
589,35.127480
590,34.968628
591,35.155922
592,34.569996
593,34.589714
594,35.054482
595,34.551247
596,34.214005
597,33.236298
598,33.184185
599,33.082188
600,35.859257
601,35.133846
602,35.195293
603,35.675579
604,32.912910
605,31.269670
606,30.547348
607,30.155611
608,30.027811
609,29.518801
610,29.519770
611,29.864126
612,28.865768
613,28.336288
614,27.050375
615,26.712294
616,27.327475
617,27.516973
618,27.855190
619,26.970898
620,26.726303
621,25.507582
622,25.299177
623,24.444021
624,23.706705
625,23.653742
626,23.176134
627,23.040453
628,23.088062
629,22.417967
630,23.681002
631,22.470541
632,22.225294
633,22.326620
634,22.321774
635,22.249731
636,21.909193
637,22.015955
638,21.648146
639,21.628511
640,21.407768
641,21.316179
642,21.205183
643,21.016808
644,20.852757
645,20.804653
646,20.661505
647,20.521235
648,20.443434
649,20.370569
650,20.324200
651,20.305037
652,20.273735
653,20.295403
654,20.277941
655,20.309334
656,20.261543
657,20.228834
658,20.181417
659,20.122152
660,21.395693
661,21.415258
662,21.459284
663,21.466146
664,21.479435
665,21.454241
666,21.402580
667,21.374447
668,21.319571
669,21.307650
670,21.235075
671,21.140570
672,21.009039
673,20.881475
674,20.804085
675,20.775625
676,20.695063
677,20.652012
678,20.650650
679,20.640474
680,20.622004
681,20.633553
682,20.630865
683,20.626558
684,20.626234
685,20.592855
686,20.569719
687,20.567263
688,20.539667
689,20.475382
690,20.313072
691,20.256495
692,20.202271
693,20.157440
694,20.059420
695,20.017731
696,20.001663
697,19.948448
698,19.902443
699,19.879608
700,19.820250
701,19.778957
702,19.771111
703,19.793467
704,19.816277
705,19.873442
706,20.075356
707,20.253817
708,20.416498
709,20.749043
710,20.976248
711,21.154438
712,21.555901
713,21.871960
714,22.185839
715,22.860376
716,23.611652
717,24.352339
718,26.195707
719,27.901369
720,29.377960
721,33.271324
722,36.168564
723,37.396973
724,37.461960
725,21.415232
726,21.369072
727,21.436792
728,21.589697
729,21.512684
730,21.460550
731,21.282732
732,21.406757
733,21.476936
734,21.422289
735,21.412607
736,21.391510
737,21.389519
738,21.404282
739,21.461601
740,21.523422
741,21.525871
742,21.491179
743,21.443796
744,21.467276
745,21.419546
746,21.357113
747,21.285606
748,21.224501
749,21.149141
750,21.082127
751,21.080597
752,21.071608
753,21.067816
754,21.072214
755,21.081875
756,21.090591
757,21.097984
758,21.100861
759,21.124786
760,21.157402
761,21.188452
762,21.184235
763,21.171328
764,21.172695
765,21.177076
766,21.167875
767,21.158716
768,21.159142
769,21.173555
770,21.169073
771,21.166416
772,21.168509
773,21.165850
774,21.150986
775,21.140055
776,21.136818
777,21.130148
778,21.126928
779,21.110573
780,21.082745
781,21.060606
782,21.045105
783,21.025757
784,21.028954
785,28.766575
786,28.736015
787,28.660236
788,28.641808
789,28.606543
790,28.537888
791,28.480595
792,28.426523
793,28.294390
794,27.955795
795,27.607731
796,26.441103
797,25.136889
798,24.255348
799,23.355350
800,22.960304
801,22.772232
802,22.616390
803,22.494986
804,22.375767
805,22.295296
806,22.245203
807,22.175970
808,22.196886
809,22.275505
810,22.284632
811,22.354252
812,22.544136
813,22.663185
814,22.811274
815,23.094070
816,23.010406
817,22.778208
818,22.561996
819,22.413052
820,22.130651
821,21.950563
822,21.861946
823,21.714682
824,21.631330
825,21.597071
826,21.503340
827,21.442923
828,21.421907
829,21.315884
830,21.238422
831,21.195690
832,21.057837
833,20.999580
834,20.959560
835,20.893145
836,20.859781
837,20.846180
838,20.771664
839,20.743217
840,20.722698
841,20.687376
842,20.655500
843,20.664412
844,20.659969
845,36.417862
846,36.911770
847,37.780270
848,38.588043
849,38.682625
850,38.923367
851,38.872875
852,38.736877
853,38.574486
854,38.445847
855,38.339283
856,38.398922
857,38.235977
858,38.121719
859,37.942806
860,37.876579
861,37.666164
862,37.526947
863,37.584160
864,37.390713
865,37.428997
866,37.308941
867,37.379864
868,37.406036
869,37.647598
870,37.724533
871,37.615570
872,37.384151
873,37.332554
874,37.714245
875,40.249733
876,39.951233
877,39.961372
878,40.310089
879,39.846264
880,37.111595
881,35.402355
882,35.141788
883,34.951450
884,34.767059
885,34.524090
886,33.449375
887,33.142086
888,33.031040
889,32.922997
890,32.786190
891,32.648888
892,32.360123
893,32.103760
894,31.935919
895,32.148071
896,32.026836
897,31.863733
898,31.703360
899,31.624651
900,31.684378
901,27.596766
902,26.828772
903,26.350376
904,25.763247
905,25.378342
906,25.098589
907,24.768738
908,24.495663
909,24.319258
910,24.021263
911,23.805668
912,23.701834
913,23.566723
914,23.465994
915,23.406521
916,23.379194
917,23.430405
918,23.460661
919,23.914927
920,24.489418
921,24.982166
922,26.367920
923,27.461756
924,28.688908
925,30.913071
926,31.777332
927,31.607574
928,31.598543
929,31.749172
930,31.803078
931,31.803295
932,31.580095
933,31.541470
934,31.654764
935,31.753340
936,32.033314
937,32.374622
938,32.831051
939,33.605465
940,35.469524
941,36.433407
942,36.855045
943,37.951820
944,38.222965
945,38.364594
946,39.597916
947,39.991234
948,40.198536
949,40.254726
950,40.436043
951,40.316639
952,40.350800
953,40.236515
954,40.387577
955,40.401283
956,40.147026
957,39.478176
958,38.861530
959,38.173836
960,37.463825
961,36.395233
962,33.380917
963,32.637856
964,31.606287
965,31.518370
966,31.607533
967,31.538755
968,31.452238
969,31.479176
970,31.598679
971,31.453615
972,31.390163
973,31.325712
974,31.221476
975,31.206697
976,31.018641
977,30.837997
978,30.451448
979,29.790936
980,29.803673
981,30.056120
982,30.678873
983,30.420902
984,30.265432
985,32.345577
986,35.754223
987,36.649174
988,37.827763
989,37.757172
990,39.062832
991,41.377876
992,41.320091
993,39.953381
994,39.200279
995,37.566071
996,36.486355
997,34.592365
998,34.195328
999,33.997540
1000,34.768440
1001,34.920200
1002,34.456764
1003,34.449409
1004,34.659313
1005,34.932083
1006,34.535618
1007,34.498688
1008,34.513691
1009,34.534977
1010,34.718132
1011,34.540138
1012,33.190029
1013,31.408022
1014,30.018623
1015,27.779758
1016,26.644428
1017,25.737869
1018,24.821932
1019,24.290300
1020,23.910767
1021,23.488855
1022,23.172102
1023,23.007620
1024,22.893978
1025,16.828835
1026,16.871456
1027,16.879574
1028,16.895823
1029,16.919542
1030,16.931759
1031,16.923355
1032,16.928577
1033,16.950954
1034,17.009369
1035,17.046745
1036,17.027519
1037,16.955282
1038,16.911148
1039,17.002197
1040,17.139185
1041,17.390875
1042,17.892155
1043,18.184181
1044,18.484507
1045,19.217752
1046,19.353348
1047,19.508717
1048,20.043247
1049,20.761864
1050,21.030540
1051,21.245228
1052,21.257254
1053,21.199770
1054,21.174845
1055,21.012094
1056,21.137548
1057,21.533215
1058,21.721319
1059,21.814264
1060,21.914722
1061,21.974602
1062,21.941200
1063,21.937283
1064,21.873169
1065,21.813673
1066,21.770706
1067,21.756283
1068,21.667139
1069,21.544212
1070,21.449392
1071,21.406286
1072,21.356445
1073,21.294640
1074,21.199083
1075,21.105875
1076,20.997814
1077,20.885752
1078,20.728121
1079,20.579493
1080,20.498573
1081,20.367977
1082,20.293062
1083,20.226599
1084,20.149471
1085,13.935871
1086,13.907001
1087,13.893801
1088,13.881388
1089,13.864283
1090,13.872379
1091,13.874928
1092,13.880058
1093,13.888130
1094,13.895864
1095,13.901868
1096,13.907675
1097,13.920564
1098,13.944238
1099,13.949847
1100,13.952168
1101,13.974285
1102,13.993031
1103,14.017464
1104,14.031923
1105,14.049859
1106,14.046516
1107,14.067044
1108,14.073308
1109,14.067043
1110,14.049998
1111,14.007670
1112,13.985538
1113,13.944006
1114,13.904766
1115,13.853184
1116,13.823644
1117,13.772903
1118,13.719244
1119,13.672990
1120,13.633525
1121,13.574990
1122,13.520961
1123,13.474118
1124,13.421258
1125,13.381347
1126,13.338322
1127,13.292403
1128,13.262629
1129,13.219600
1130,13.182711
1131,13.167356
1132,13.148312
1133,13.171093
1134,13.250013
1135,13.320846
1136,13.394547
1137,13.462109
1138,13.489947
1139,13.466763
1140,13.463295
1141,13.461411
1142,13.462754
1143,13.472827
1144,13.481111
1145,13.488181
1146,13.497649
1147,13.511015
1148,13.521242
1149,13.540321
1150,13.562585
1151,13.570518
1152,13.559584
1153,13.567961
