frame,value
0,0.939091
1,0.938855
2,0.938892
3,0.938227
4,0.938112
5,0.937070
6,0.934785
7,0.935210
8,0.932015
9,0.932395
10,0.931160
11,0.931752
12,0.931820
13,0.933156
14,0.933614
15,0.934555
16,0.934545
17,0.933777
18,0.933904
19,0.933933
20,0.937726
21,0.939341
22,0.936771
23,0.937285
24,0.941404
25,0.939116
26,0.937619
27,0.936843
28,0.935775
29,0.934618
30,0.936359
31,0.934832
32,0.932479
33,0.926746
34,0.927703
35,0.925936
36,0.926137
37,0.924875
38,0.924143
39,0.928319
40,0.926660
41,0.933066
42,0.936809
43,0.931929
44,0.937963
45,0.932814
46,0.931930
47,0.931970
48,0.928182
49,0.928579
50,0.928084
51,0.928375
52,0.929604
53,0.925211
54,0.926650
55,0.924986
56,0.923107
57,0.922872
58,0.922451
59,0.921941
60,0.924922
61,0.924402
62,0.923533
63,0.923499
64,0.922461
65,0.927526
66,0.924640
67,0.923081
68,0.921281
69,0.917415
70,0.914416
71,0.913029
72,0.911651
73,0.915953
74,0.914295
75,0.912787
76,0.909712
77,0.908036
78,0.909718
79,0.906021
80,0.905619
81,0.905467
82,0.905967
83,0.906650
84,0.907218
85,0.907939
86,0.907950
87,0.904838
88,0.903880
89,0.903661
90,0.908817
91,0.909643
92,0.914352
93,0.911373
94,0.905151
95,0.904536
96,0.904455
97,0.905187
98,0.906116
99,0.910730
100,0.915474
101,0.916444
102,0.915861
103,0.914975
104,0.914267
105,0.914154
106,0.913542
107,0.912962
108,0.911986
109,0.911073
110,0.909744
111,0.908837
112,0.908040
113,0.907842
114,0.907751
115,0.909310
116,0.910459
117,0.911274
118,0.913324
119,0.914191
120,0.919710
121,0.919584
122,0.919491
123,0.920125
124,0.920382
125,0.919133
126,0.919020
127,0.918627
128,0.918212
129,0.917523
130,0.917136
131,0.915446
132,0.914605
133,0.915881
134,0.916644
135,0.916243
136,0.917342
137,0.918113
138,0.918082
139,0.918556
140,0.918953
141,0.918991
142,0.917684
143,0.917404
144,0.917603
145,0.918325
146,0.919696
147,0.920964
148,0.923899
149,0.924729
150,0.930078
151,0.928998
152,0.927798
153,0.926771
154,0.926430
155,0.923513
156,0.921513
157,0.918105
158,0.916111
159,0.915635
160,0.916349
161,0.919759
162,0.921888
163,0.927561
164,0.928597
165,0.929236
166,0.929877
167,0.930249
168,0.931555
169,0.932878
170,0.934204
171,0.935053
172,0.936023
173,0.936196
174,0.935989
175,0.936742
176,0.936557
177,0.936755
178,0.936637
179,0.936592
180,0.942425
181,0.942173
182,0.941300
183,0.940052
184,0.937866
185,0.935160
186,0.934252
187,0.931263
188,0.929060
189,0.929166
190,0.929667
191,0.929330
192,0.928163
193,0.923724
194,0.921820
195,0.919719
196,0.916626
197,0.912797
198,0.912646
199,0.910997
200,0.907510
201,0.907401
202,0.906665
203,0.905841
204,0.905143
205,0.904224
