frame,value
0,0.957078
1,0.957164
2,0.958175
3,0.958375
4,0.956988
5,0.955418
6,0.954035
7,0.954608
8,0.954429
9,0.953738
10,0.951779
11,0.948169
12,0.947212
13,0.944474
14,0.941056
15,0.941467
16,0.943193
17,0.940478
18,0.930515
19,0.905447
20,0.870102
21,0.851399
22,0.828529
23,0.802059
24,0.789082
25,0.773208
26,0.755217
27,0.746847
28,0.737113
29,0.727617
30,0.728528
31,0.727951
32,0.723961
33,0.724628
34,0.729722
35,0.426212
36,0.428049
37,0.434511
38,0.454029
39,0.469052
40,0.489204
41,0.510131
42,0.513132
43,0.514340
44,0.512564
45,0.511399
46,0.514576
47,0.517209
48,0.518872
49,0.520853
50,0.524957
51,0.526043
52,0.526565
53,0.529328
54,0.527629
55,0.528067
56,0.525427
57,0.527415
58,0.525724
59,0.524778
60,0.524730
61,0.524067
62,0.523526
63,0.523158
64,0.520972
65,0.519139
66,0.518382
67,0.515831
68,0.514985
69,0.513647
70,0.513150
71,0.511504
72,0.509365
73,0.508641
74,0.507634
75,0.507272
76,0.507474
77,0.509527
78,0.512225
79,0.517212
80,0.523086
81,0.526704
82,0.537548
83,0.572276
84,0.592915
85,0.634089
86,0.687803
87,0.715000
88,0.750148
89,0.787720
90,0.802988
91,0.816347
92,0.823700
93,0.822096
94,0.815564
95,0.935590
96,0.934126
97,0.934961
98,0.934443
99,0.935961
100,0.935597
101,0.936214
102,0.935610
103,0.935359
104,0.936425
105,0.936982
106,0.934638
107,0.935397
108,0.937081
109,0.936411
110,0.940351
111,0.939927
112,0.943432
113,0.946052
114,0.948385
115,0.951945
116,0.959693
117,0.961488
118,0.962741
119,0.966407
120,0.969362
121,0.971495
122,0.971327
123,0.973300
124,0.974393
125,0.975420
126,0.976325
127,0.980313
128,0.981601
129,0.979515
130,0.980565
131,0.981242
132,0.978954
133,0.979813
134,0.979777
135,0.979780
136,0.980179
137,0.978218
138,0.977312
139,0.971495
140,0.962099
141,0.956430
142,0.952128
143,0.946033
144,0.944675
145,0.938786
146,0.929561
147,0.922998
148,0.911786
149,0.890429
150,0.880829
151,0.857497
152,0.824305
153,0.807156
154,0.779574
155,0.963777
156,0.958397
157,0.956900
158,0.951465
159,0.952359
160,0.950797
161,0.951176
162,0.949775
163,0.950128
164,0.947552
165,0.948063
166,0.946522
167,0.946833
168,0.949143
169,0.947856
170,0.949529
171,0.946715
172,0.947804
173,0.946574
174,0.949630
175,0.947487
176,0.948229
177,0.948124
178,0.950411
179,0.949304
180,0.951200
181,0.949608
182,0.948281
183,0.949437
184,0.951024
185,0.501261
186,0.500662
187,0.500019
188,0.498437
189,0.497055
190,0.496701
191,0.498133
192,0.496139
193,0.502118
194,0.507131
195,0.510967
196,0.517187
197,0.524260
198,0.529339
199,0.535425
200,0.546615
201,0.552423
202,0.566946
203,0.576383
204,0.578234
205,0.587925
206,0.593779
207,0.597043
208,0.598394
209,0.601802
210,0.604499
211,0.605183
212,0.606656
213,0.606363
214,0.611590
215,0.606590
216,0.609239
217,0.615286
218,0.619781
219,0.622583
220,0.623018
221,0.626686
222,0.627469
223,0.628452
224,0.628619
225,0.630084
226,0.631283
227,0.630657
228,0.630468
229,0.628945
230,0.632763
231,0.628177
232,0.627039
233,0.623309
234,0.623436
235,0.623111
236,0.626188
237,0.637543
238,0.654346
239,0.678297
240,0.684904
241,0.687182
242,0.690793
243,0.697305
244,0.701541
245,0.725480
246,0.734002
247,0.737647
248,0.738026
249,0.734322
250,0.732405
251,0.730834
252,0.727649
253,0.724050
254,0.721796
255,0.720388
256,0.714942
257,0.709668
258,0.705153
259,0.700743
260,0.693738
261,0.688859
262,0.683703
263,0.677781
264,0.673132
265,0.667318
266,0.662042
267,0.657596
268,0.652564
269,0.646378
270,0.641900
271,0.636079
272,0.628652
273,0.623174
274,0.617115
275,0.955595
276,0.954808
277,0.950026
278,0.951429
279,0.958079
280,0.960950
281,0.964228
282,0.965778
283,0.969709
284,0.973645
285,0.975075
286,0.977760
287,0.977364
288,0.977701
289,0.975622
290,0.976474
291,0.976660
292,0.976566
293,0.975471
294,0.974105
295,0.974072
296,0.974420
297,0.975537
298,0.975496
299,0.975855
300,0.977178
301,0.975602
302,0.973637
303,0.975626
304,0.976476
305,0.982854
306,0.985015
307,0.981126
308,0.980430
309,0.978693
310,0.977487
311,0.979584
312,0.979443
313,0.978278
314,0.977020
315,0.977238
316,0.977862
317,0.977316
318,0.978345
319,0.978016
320,0.978082
321,0.978248
322,0.979569
323,0.980339
324,0.980427
325,0.980368
326,0.979469
327,0.979761
328,0.981849
329,0.982371
330,0.984925
331,0.985141
332,0.986098
333,0.986957
334,0.987338
335,0.989708
336,0.989075
337,0.989630
338,0.989078
339,0.989235
340,0.990013
341,0.989483
342,0.988788
343,0.986888
344,0.987347
345,0.988590
346,0.988826
347,0.987528
348,0.987288
349,0.986736
350,0.986020
351,0.984949
352,0.985417
353,0.984914
354,0.984440
355,0.983313
356,0.983277
357,0.983109
358,0.983013
359,0.981114
360,0.981951
361,0.981528
362,0.982851
363,0.983158
364,0.980842
365,0.846450
366,0.846219
367,0.843301
368,0.840375
369,0.841902
370,0.840490
371,0.839658
372,0.839091
373,0.834952
374,0.829755
375,0.832811
376,0.832781
377,0.838486
378,0.844540
379,0.827317
380,0.837229
381,0.820686
382,0.829109
383,0.841345
384,0.856889
385,0.858418
386,0.855028
387,0.863127
388,0.873105
389,0.839195
390,0.831998
391,0.835267
392,0.844051
393,0.854277
394,0.852791
395,0.986961
396,0.989389
397,0.987681
398,0.983869
399,0.978048
400,0.976628
401,0.972375
402,0.970708
403,0.973250
404,0.976661
405,0.981739
406,0.980995
407,0.984454
408,0.983691
409,0.987457
410,0.982738
411,0.983775
412,0.984185
413,0.983233
414,0.982508
415,0.979191
416,0.977927
417,0.977138
418,0.976401
419,0.973346
420,0.975069
421,0.969946
422,0.968563
423,0.964592
424,0.966301
425,0.973143
426,0.972784
427,0.970890
428,0.970684
429,0.971053
430,0.971264
431,0.970783
432,0.969931
433,0.967741
434,0.965721
435,0.966027
436,0.963171
437,0.964796
438,0.963879
439,0.962908
440,0.952557
441,0.949482
442,0.919936
443,0.880576
444,0.865779
445,0.838383
446,0.813142
447,0.812102
448,0.795138
449,0.787782
450,0.788525
451,0.793972
452,0.794074
453,0.793246
454,0.792407
455,0.814482
456,0.817407
457,0.835376
458,0.852241
459,0.855347
460,0.877728
461,0.891447
462,0.894860
463,0.914115
464,0.935297
465,0.939278
466,0.947989
467,0.954576
468,0.956294
469,0.958012
470,0.953092
471,0.950467
472,0.940359
473,0.940684
474,0.941819
475,0.946904
476,0.964764
477,0.968626
478,0.975689
479,0.975109
480,0.978332
481,0.978712
482,0.976937
483,0.974731
484,0.964730
485,0.942949
486,0.933893
487,0.879308
488,0.820079
489,0.804282
490,0.748136
491,0.711580
492,0.706140
493,0.696576
494,0.697004
495,0.697933
496,0.707060
497,0.714672
498,0.718889
499,0.713525
500,0.699517
501,0.695978
502,0.675694
503,0.646910
504,0.639329
505,0.621545
506,0.608766
507,0.609125
508,0.610419
509,0.620389
510,0.627149
511,0.644833
512,0.666115
513,0.680685
514,0.720136
515,0.760370
516,0.771743
517,0.802760
518,0.825639
519,0.830728
520,0.841942
521,0.842974
522,0.839654
523,0.837526
524,0.831200
525,0.829766
526,0.826195
527,0.826569
528,0.823893
529,0.829111
530,0.830809
531,0.833971
532,0.831497
533,0.834111
534,0.828983
535,0.833104
536,0.844565
537,0.851743
538,0.895062
539,0.957687
540,0.974158
541,0.988293
542,0.981898
543,0.979181
544,0.974040
545,0.969317
546,0.967766
547,0.965473
548,0.962230
549,0.961880
550,0.958946
551,0.956289
552,0.956519
553,0.955449
554,0.952410
555,0.951694
556,0.944947
557,0.914313
558,0.903712
559,0.837953
560,0.780120
561,0.765991
562,0.726374
563,0.694353
564,0.685152
565,0.656812
566,0.638132
567,0.631055
568,0.623442
569,0.629194
570,0.632009
571,0.650645
572,0.681039
573,0.689862
574,0.726323
575,0.367752
576,0.376488
577,0.407349
578,0.433181
579,0.437701
580,0.456021
581,0.466821
582,0.469331
583,0.477566
584,0.481804
585,0.484524
586,0.487312
587,0.491869
588,0.493925
589,0.497187
590,0.497715
591,0.499424
592,0.496992
593,0.494112
594,0.494835
595,0.493419
596,0.493819
597,0.495751
598,0.496413
599,0.495971
600,0.494954
601,0.492382
602,0.491718
603,0.492111
604,0.491500
605,0.491543
606,0.490311
607,0.488458
608,0.487029
609,0.487047
610,0.491909
611,0.500703
612,0.505788
613,0.520155
614,0.533938
615,0.536206
616,0.545566
617,0.553597
618,0.556625
619,0.561487
620,0.563595
621,0.564208
622,0.567343
623,0.570981
624,0.573900
625,0.578409
626,0.580675
627,0.580786
628,0.584593
629,0.587485
630,0.590544
631,0.589781
632,0.590245
633,0.592254
634,0.597602
635,0.230025
636,0.232418
637,0.234677
638,0.236538
639,0.233164
640,0.234620
641,0.234124
642,0.233968
643,0.233850
644,0.234084
645,0.235299
646,0.234717
647,0.235331
648,0.234714
649,0.234962
650,0.235285
651,0.236971
652,0.238655
653,0.243010
654,0.245959
655,0.246042
656,0.246974
657,0.247380
658,0.245976
659,0.245447
660,0.244590
661,0.245212
662,0.245531
663,0.245861
664,0.245957
665,0.951995
666,0.952148
667,0.952448
668,0.952439
669,0.952453
670,0.952009
671,0.952105
672,0.950284
673,0.949708
674,0.949038
675,0.949664
676,0.949255
677,0.947889
678,0.946971
679,0.932543
680,0.865397
681,0.847049
682,0.787901
683,0.744768
684,0.735154
685,0.695199
686,0.655152
687,0.645734
688,0.620079
689,0.601414
690,0.598631
691,0.594009
692,0.599001
693,0.602439
694,0.611553
695,0.960138
696,0.959784
697,0.962163
698,0.963207
699,0.962955
700,0.963120
701,0.965068
702,0.964568
703,0.966353
704,0.967818
705,0.967237
706,0.967550
707,0.966848
708,0.965320
709,0.963679
710,0.961741
711,0.962561
712,0.958949
713,0.956097
714,0.955633
715,0.952741
716,0.949457
717,0.944246
718,0.943148
719,0.945247
720,0.951488
721,0.949106
722,0.947988
723,0.945968
724,0.943687
725,0.486428
726,0.485170
727,0.475147
728,0.463080
729,0.459950
730,0.452089
731,0.442763
732,0.441014
733,0.434575
