frame,value
0,0.328251
1,0.326598
2,0.323826
3,0.325626
4,0.326354
5,0.327642
6,0.327231
7,0.326507
8,0.326790
9,0.329788
10,0.327675
11,0.326609
12,0.327634
13,0.331127
14,0.330237
15,0.331885
16,0.331608
17,0.333312
18,0.329887
19,0.327888
20,0.321437
21,0.324316
22,0.321797
23,0.320370
24,0.324999
25,0.326238
26,0.324223
27,0.327767
28,0.327362
29,0.322088
30,0.337762
31,0.332915
32,0.326809
33,0.321522
34,0.326921
35,0.320352
36,0.317985
37,0.318530
38,0.319127
39,0.319784
40,0.317302
41,0.317622
42,0.318923
43,0.320562
44,0.312831
45,0.315218
46,0.313495
47,0.312192
48,0.313524
49,0.315598
50,0.312819
51,0.312430
52,0.314140
53,0.318252
54,0.318751
55,0.321538
56,0.311990
57,0.313551
58,0.315462
59,0.319893
60,0.332706
61,0.318621
62,0.314926
63,0.317187
64,0.321136
65,0.317019
66,0.315160
67,0.311422
68,0.315912
69,0.315963
70,0.316325
71,0.312274
72,0.312289
73,0.315364
74,0.316078
75,0.321038
76,0.318716
77,0.314306
78,0.313219
79,0.314689
80,0.318247
81,0.320635
82,0.323696
83,0.328270
84,0.321885
85,0.322918
86,0.327534
87,0.327237
88,0.323908
89,0.324657
90,0.344132
91,0.339457
92,0.336678
93,0.333007
94,0.330583
95,0.331504
96,0.332888
97,0.338486
98,0.337801
99,0.337671
100,0.342081
101,0.336968
102,0.333150
103,0.334310
104,0.337351
105,0.338468
106,0.335627
107,0.338317
108,0.336712
109,0.335603
110,0.338081
111,0.332713
112,0.337923
113,0.340166
114,0.349543
115,0.339037
116,0.343361
117,0.339146
118,0.336138
119,0.333031
120,0.340377
121,0.338806
122,0.333491
123,0.333473
124,0.339014
125,0.331139
126,0.339297
127,0.332400
128,0.331590
129,0.332139
130,0.331508
131,0.332362
132,0.329419
133,0.330456
134,0.323676
135,0.331797
136,0.326992
137,0.322676
138,0.315453
139,0.319890
140,0.321198
141,0.323133
142,0.325034
143,0.320735
144,0.322271
145,0.320925
146,0.318872
147,0.321911
148,0.321825
149,0.314236
150,0.336251
151,0.326794
152,0.326601
153,0.323049
154,0.327010
155,0.324024
156,0.336162
157,0.340598
158,0.352770
159,0.350882
160,0.346132
161,0.351671
162,0.350491
163,0.353640
164,0.360272
165,0.359994
166,0.357812
167,0.360926
168,0.363940
169,0.370029
170,0.364089
171,0.357721
172,0.355907
173,0.354386
174,0.349455
175,0.353394
176,0.347991
177,0.344265
178,0.341335
179,0.343484
180,0.358956
181,0.353374
182,0.356353
183,0.341945
184,0.338235
185,0.341771
186,0.337612
187,0.336728
188,0.335286
189,0.327901
190,0.332652
191,0.329339
192,0.326267
193,0.323471
194,0.322474
195,0.324189
196,0.327663
197,0.334323
198,0.327761
199,0.329985
200,0.324891
201,0.327581
202,0.337484
203,0.341652
204,0.336372
205,0.337973
206,0.339695
207,0.345447
208,0.339649
209,0.341034
210,0.345348
211,0.338688
212,0.338933
213,0.342822
214,0.343417
215,0.435793
216,0.455851
217,0.457828
218,0.468618
219,0.482071
220,0.498886
221,0.494145
222,0.501026
223,0.497076
224,0.507046
225,0.502094
226,0.505977
227,0.504525
228,0.503748
229,0.527472
230,0.535915
231,0.534592
232,0.518153
233,0.570117
234,0.547461
235,0.574454
236,0.625667
237,0.634604
238,0.608386
239,0.599836
240,0.593966
241,0.596769
242,0.582091
243,0.567054
244,0.564186
245,0.431785
246,0.406241
247,0.396515
248,0.396932
249,0.377400
250,0.385327
251,0.381587
252,0.386394
253,0.391199
254,0.396000
255,0.377813
256,0.387236
257,0.381793
258,0.367686
259,0.365957
260,0.379600
261,0.373934
262,0.368371
263,0.366222
264,0.366976
265,0.365843
266,0.362263
267,0.355319
268,0.346679
269,0.348027
270,0.375738
271,0.382715
272,0.366245
273,0.365694
274,0.349574
275,0.344576
276,0.349266
277,0.336943
278,0.347294
279,0.342147
280,0.341717
281,0.332571
282,0.321679
283,0.326635
284,0.324339
285,0.322387
286,0.338403
287,0.333043
288,0.345151
289,0.329601
290,0.337740
291,0.336301
292,0.340243
293,0.348021
294,0.341531
295,0.342331
296,0.355709
297,0.354705
298,0.353443
299,0.351667
300,0.356305
301,0.361674
302,0.356997
303,0.354666
304,0.356649
305,0.363234
306,0.348450
307,0.353310
308,0.354386
309,0.356239
310,0.357532
311,0.352117
312,0.355850
313,0.358362
314,0.368327
315,0.362253
316,0.359956
317,0.350387
318,0.367346
319,0.361653
320,0.367792
321,0.371659
322,0.373197
323,0.369287
324,0.362107
325,0.372037
326,0.380695
327,0.368062
328,0.376266
329,0.371586
330,0.395021
331,0.382396
332,0.391189
333,0.378594
334,0.385704
335,0.393296
336,0.383877
337,0.380296
338,0.371030
339,0.358192
340,0.344111
341,0.333786
342,0.336719
343,0.344509
344,0.346226
345,0.335829
346,0.343434
347,0.361734
348,0.360918
349,0.361201
350,0.357220
351,0.362702
352,0.362032
353,0.358264
354,0.360619
355,0.365348
356,0.368529
357,0.361996
358,0.364846
359,0.367982
360,0.407015
361,0.393662
362,0.381638
363,0.371868
364,0.383028
365,0.385152
366,0.378998
367,0.378665
368,0.379111
369,0.382539
370,0.378318
371,0.385577
372,0.419442
373,0.402950
374,0.394303
375,0.390708
376,0.384817
377,0.395491
378,0.379626
379,0.383673
380,0.377442
381,0.387238
382,0.387135
383,0.388449
384,0.386150
385,0.384091
386,0.393739
387,0.392177
388,0.388255
389,0.377806
390,0.402562
391,0.398554
392,0.400376
393,0.400744
394,0.390212
395,0.367845
396,0.340136
397,0.318808
398,0.354117
399,0.366880
400,0.350987
401,0.345509
402,0.341618
403,0.345594
404,0.349511
405,0.352009
406,0.340439
407,0.347593
408,0.354039
409,0.339580
410,0.359736
411,0.366599
412,0.359019
413,0.355289
414,0.355753
415,0.359814
416,0.368296
417,0.358409
418,0.359801
419,0.365404
420,0.389767
421,0.383190
422,0.375897
423,0.375473
424,0.375833
425,0.373337
426,0.376011
427,0.376796
428,0.377866
429,0.369625
430,0.364588
431,0.364979
432,0.371091
433,0.371660
434,0.365593
435,0.369175
436,0.364416
437,0.373522
438,0.371006
439,0.370931
440,0.369608
441,0.374254
442,0.372596
443,0.381384
444,0.379274
445,0.381363
446,0.366660
447,0.360660
448,0.362139
449,0.376525
450,0.395229
451,0.387506
452,0.376505
453,0.366979
454,0.388173
455,0.389359
456,0.382832
457,0.376358
458,0.379077
459,0.367532
460,0.370431
461,0.375328
462,0.386408
463,0.367684
464,0.354069
465,0.363488
466,0.375761
